"Record ID","Full Address"
"13670200150","1649 Timberridge Court, Fayetteville, AR 72704"
"13670157629","716 Waller Road, Brentwood, TN 37027"
"13670121546","8315 Surf Drive, Panama City Beach, FL 32408"
"13668962082","7 Underwood Place Northwest, Washington, DC 20012"
"13668951351","5114 Greentree Drive, Nashville, TN 37211"
"13670205228","1267 Martin Street, Nashville, TN 37203"
"13670194766","49548 Road 200, O'Neals, CA 93645"
"13670134901","491 Arabian Way, Grand Junction, CO 81504"
"13670133659","5306 Ritchie Highway, Baltimore, MD 21225"
"13670117133","117 East Cook Avenue, Anchorage, AK 99501"
"13668988229","159 Downey Drive, Manchester, CT 06040"
"13668981936","172 Alburg Springs Road, Alburgh, VT 05440"
"13668955416","1427 South Carolina Avenue Southeast, Washington, DC 20003"
"13668914727","1513 Cathy Street, Savannah, GA 31415"
"13670105450","310 Timrod Road, Manchester, CT 06040"
"13668983578","6463 Vrain Street, Arvada, CO 80003"
"13668870968","60 Desousa Drive, Manchester, CT 06040"
"13668858393","416 McIver Street, Nashville, TN 37211"
"13668637987","560 Penstock Drive, Grass Valley, CA 95945"
"13668822023","31353 Santa Elena Way, Union City, CA 94587"
"13668930378","1101 Lotus Avenue, Glen Burnie, MD 21061"
"13670117132","5108 Franklin Street, Savannah, GA 31405"
"13668999815","8505 Waters Avenue, Savannah, GA 31406"
"13668981935","913 Fallview Trail, Nashville, TN 37211"
"13668930379","21950 Arnold Center Road, Carson, CA 90810"
"13668922553","7431 Candace Way, Louisville, KY 40214"
"13668922552","5906 Milton Avenue, Deale, MD 20751"
"13668858392","74 Ranch Drive, Montgomery, AL 36109"
"13670101382","210 Lacross Lane, Westmore, VT 05860"
"13668973330","5403 Illinois Avenue, Nashville, TN 37209"
"13670179403","3301 Old Muldoon Road, Anchorage, AK 99504"
"13670097752","270 Chrissy's Court, , VT 05443"
"13669012752","23 Sable Run Lane, Methuen, MA 01844"
"13669008911","3162 Martin Luther King Junior Boulevard, Fayetteville, AR 72704"
"13668999814","4695 East Huntsville Road, Fayetteville, AR 72701"
"13668973329","5811 Crossings Boulevard, Nashville, TN 37013"
"13668988228","1208 Elkader Court North, Nashville, TN 37013"
"13668960309","18 Densmore Drive, Essex, VT 05452"
"13670200149","637 Britannia Drive, Vallejo, CA 94591"
"13670179402","20930 Todd Valley Road, Foresthill, CA 95631"
"13670134900","3729 East Mission Boulevard, Fayetteville, AR 72703"
"13669039257","4 Old Colony Way, Yarmouth, MA 02664"
"13668884831","210 Green Road, Manchester, CT 06042"
"13668637986","1420 Turtleback Trail, Panama City, FL 32413"
"13670195640","2010 Rising Hill Drive, Norman, OK 73071"
"13668947867","74 Springfield Street, Agawam, MA 01001"
"13668870967","450 Kinhawk Drive, Nashville, TN 37211"
"13670193759","5601 West Crocus Drive, Glendale, AZ 85306"
"13670161806","816 West 19th Avenue, Anchorage, AK 99503"
"13670142257","629 Debbie Drive, Nashville, TN 37076"
"13670101381","519 West 75th Avenue, Anchorage, AK 99518"
"13668951348","8376 Albacore Drive, Pasadena, MD 21122"
"13670113460","802 Madison Street Northwest, Washington, DC 20011"
"13668998273","19416 Barclay Road, Castro Valley, CA 94546"
"13668943538","3466 Southview Avenue, Montgomery, AL 36111"
"13670207274","131 Westerly Street, Manchester, CT 06042"
"13670205227","2409 Research Boulevard, Fort Collins, CO 80526"
"13668962081","165 Saint John Street, Manchester, CT 06040"
"13668962080","232 Maine Avenue, Panama City, FL 32401"
"13670161804","6231 North 67th Avenue, Glendale, AZ 85301"
"13668955414","1770 Colony Way, Fayetteville, AR 72704"
"13668951349","1 Kempf Drive, Easton, MA 02375"
"13668934066","87 Horseshoe Drive, West Windsor, VT 05037"
"13668914726","1745 T Street Southeast, Washington, DC 20020"
"13668884830","150 Carter Street, Manchester, CT 06040"
"13670194765","80 North East Street, Holyoke, MA 01040"
"13670161805","5928 West Mauna Loa Lane, Glendale, AZ 85306"
"13670134899","6657 West Rose Garden Lane, Glendale, AZ 85308"
"13670117131","5615 West Villa Maria Drive, Glendale, AZ 85308"
"13670117130","2905 Stonebridge Court, Norman, OK 73071"
"13670113461","1508 Massachusetts Avenue Southeast, Washington, DC 20003"
"13670105449","5461 West Shades Valley Drive, Montgomery, AL 36108"
"13668955415","6007 Applegate Lane, Louisville, KY 40219"
"13668922551","8398 West Denton Lane, Glendale, AZ 85305"
"13668910451","308 Woodleaf Court, Glen Burnie, MD 21061"
"13668858391","8800 Cordell Circle, Anchorage, AK 99502"
"13668822022","1364 Capri Drive, Panama City, FL 32405"
"13668743491","130 Old Route 103, Chester, VT 05143"
"13670195638","81 Seaton Place Northwest, Washington, DC 20001"
"13668951347","1407 Walden Court, Crofton, MD 21114"
"13668822021","12245 West 71st Place, Arvada, CO 80004"
"13670134898","109 Summit Street, Burlington, VT 05401"
"13668914725","314 South 17th Street, Nashville, TN 37206"
"13670157628","1347 Blackwalnut Court, Annapolis, MD 21403"
"13670154063","125 John Street, Santa Cruz, CA 95060"
"13670149741","132 Laurel Green Court, Savannah, GA 31419"
"13668955413","8502 Madrone Avenue, Louisville, KY 40258"
"13668894574","2811 Battery Place Northwest, Washington, DC 20016"
"13670139922","22572 Toreador Drive, Salinas, CA 93908"
"13668960308","600 West 19th Avenue, Anchorage, AK 99503"
"13668876939","6601 West Ocotillo Road, Glendale, AZ 85301"
"13670195639","3034 Mica Street, Fayetteville, AR 72704"
"13668870966","2203 7th Street Road, Louisville, KY 40208"
"13670207273","2721 Lindsay Avenue, Louisville, KY 40206"
"13670146134","10826 Pointe Royal Drive, Bakersfield, CA 93311"
"13669012751","388 East Main Street, , VT 05753"
"13668966320","8821 West Myrtle Avenue, Glendale, AZ 85305"
"13668951346","1903 Bashford Manor Lane, Louisville, KY 40218"
"13668910450","700 Winston Place, Anchorage, AK 99504"
